Title,css146c3p1,cssg5y9jx_divcontainsclass_cssg5y9jx,cssg5y9jx,cssg5y9jx1,cssg5y9jx2,cssg5y9jx3,css146c3p14
"Great Phone , value for money , 
Camera Quality 🔥 
Battery life 🔋 🔥 
Performance 🔥 
Overall 🔥",5,,5,Perfect product!,Review for: Color Pantone BLUE SURF • RAM 12 GB • Storage 256 GB,Pradyumna  Bhide, · 2 months ago
Best phone this sigment,4,,4,Nice product,Review for: Color Pantone BLUE SURF • RAM 12 GB • Storage 256 GB,, · 1 month ago
Good,5,,5,Highly recommended,Review for: Color Pantone SILHOUETTE • RAM 12 GB • Storage 256 GB,Jyotirling Kore, · 8 days ago
"Point 10/07 
1.camera. Decent 10/07
2.sound . Low and single speaker 10/06
3.battary. Excellent  10/10
4.charger . To slow 33wt   10/08
5.display. Good   10/09
6.performance. Good  10/08
7.headphone ....",4,,4,Delightful,Review for: Color Chrome Silver • RAM 4 GB • Storage 128 GB,, · 7 months ago
Worth it...for regular use performance and camera is average in this price...overall good product,5,,5,Super!,Review for: Color Chrome Silver • RAM 4 GB • Storage 128 GB,, · 7 months ago
Good product 😍,5,,5,Worth every penny,Review for: Color Carbon Black • RAM 4 GB • Storage 128 GB,, · 7 months ago
Good,5,,5,Highly recommended,Review for: Color Carbon Black • RAM 4 GB • Storage 128 GB,, · 5 months ago
Lag issue,2,,2,Moderate,Review for: Color Chrome Silver • RAM 4 GB • Storage 128 GB,Sachin Vasava, · 7 months ago
Not so fast as a new fone shoud,3,,3,Just okay,Review for: Color Chrome Silver • RAM 4 GB • Storage 128 GB,Mansoor Ali kudli, · 7 months ago
They're mentioned 4gb ram but Actually it's working as a 2gb ram lagging and hanging dead slow performance but only one thing is better for battery is the best in class other wise don't consider this,5,,5,Does the job,Review for: Color Chrome Silver • RAM 4 GB • Storage 128 GB,Prabu D, · 7 months ago
A1 super fantastic,5,,5,Super!,Review for: Color Aqua Blue • RAM 4 GB • Storage 128 GB,, · 7 months ago
"I ordered the mobile(4gb model) on 26th 9:45pm, and got it delivered the next day by 1:15pm which was superfast. It was open box delivery which went well, and I videoed it. As far as the product is co...",5,,5,Value-for-money,Review for: Color Carbon Black • RAM 4 GB • Storage 128 GB,, · 6 months ago
Just received the phone. feels good in the hand. the materials feel premium. the bezels are way bigger than the promotional picturess suggest.,4,,4,Value-for-money,Review for: Color Aqua Blue • RAM 4 GB • Storage 128 GB,, · 4 months ago
Nice phone 📱,5,,5,Fabulous!,Review for: Color Leaf Green • RAM 4 GB • Storage 128 GB,, · 11 months ago
"Beast :) 
Leaf green color best ✅
Back camera 3.5/5✅
Front camera 5/5✅
Battery 5/5✅
Ram Booster upto 12 GB 🚀5/5 ✅
120hz refresh rate 🚀 5/5 ✅ 
Connectivity 5G speed 330+ mbps 5/5 ✅
Design vegan leath...",5,,5,Worth every penny,Review for: Color Leaf Green • RAM 4 GB • Storage 128 GB,," · Dec, 2024"
Camera is good  network issue,4,,4,Pretty good,Review for: Color Leaf Green • RAM 4 GB • Storage 128 GB,," · Jan, 2025"
"The camera is good at this price range
Ram could be increased to 6gb atleast
The volume button feels Kind of cheap
But at this price point you can't really complaint",4,,4,Worth the money,Review for: Color Midnight Black • RAM 4 GB • Storage 128 GB,Lakshay Arora," · Dec, 2024"
Nice Phone budget segment me,4,,4,Wonderful,Review for: Color Leaf Green • RAM 4 GB • Storage 128 GB,," · Dec, 2024"
Such an amazing smartphone in this price range ❤️,5,,5,budget killer 🔥,Review for: Color Leaf Green • RAM 4 GB • Storage 128 GB,," · Jan, 2025"
Best Price and Good quality Camera,5,,5,Excellent,Review for: Color Leaf Green • RAM 4 GB • Storage 128 GB,, · 11 months ago
For the price excellent mobile and very very prompt delivery from Flipkart. Was delivered in six hours 👌👍,5,,5,Awesome,Review for: Color Midnight Black • RAM 4 GB • Storage 128 GB,Sanjay  Mehrotra ," · Dec, 2024"
"Pros- 
- Display is Fantastic in this Category 
- Performance is Good
- Battery backup is great 
- Front Camera is great and back camera is more than average 
- 5g Volte works all the time with jio

C...",4,,4,Very Good,Review for: Color Guava Red • RAM 4 GB • Storage 128 GB,Subho  Gupta," · Dec, 2024"
Received same day delivery. Looks good. Need to use for a week to provide experience. Camera is good. Option available to expand the ram upto 12gb,4,,4,Pretty good,Review for: Color Leaf Green • RAM 4 GB • Storage 128 GB,," · Dec, 2024"
Best phone.,5,,5,Mind-blowing purchase,Review for: Color Midnight Black • RAM 4 GB • Storage 128 GB,," · Dec, 2024"
One of the best product in this price,4,,4,Great product,Review for: Color Leaf Green • RAM 4 GB • Storage 128 GB,," · Dec, 2024"
The value is in good shape,4,,4,Delightful,Review for: Color Leaf Green • RAM 4 GB • Storage 128 GB,," · Dec, 2024"
Moto,5,,5,Mind-blowing purchase,Review for: Color Guava Red • RAM 4 GB • Storage 128 GB,," · Apr, 2025"
Value for money,4,,4,Good quality product,Review for: Color Guava Red • RAM 4 GB • Storage 128 GB,," · Jan, 2025"
Good product of this money range🙏👍 Jai Shree Ram 🙏,5,,5,Wonderful,Review for: Color Leaf Green • RAM 4 GB • Storage 128 GB,," · Dec, 2024"
